	SRR6450951	SRR6450978	SRR6450960	SRR6450957	SRR6450980	SRR6450948	SRR6450953	SRR6450959	SRR6450975	SRR6450977	SRR6450981	SRR6450955	SRR6450958	SRR6450972	SRR6450947	SRR6450971	SRR6450973	SRR6450954	SRR6450961	SRR6450952	SRR6450950	SRR6450949	SRR6450956	SRR6450976	SRR6450979	SRR6450974
g__Acidaminococcus	0	0	0	0	63.1472594089416	0	0	32.8936548139864	1556.03494005729	77.5344058926148	0	0	0	53.8560965101249	0	0	0	39.4228494835607	0	0	27644.1891845138	45.5166135639509	0	104.369607570276	49588.3840020743	0
g__Acinetobacter	73.3514266852491	0	0	0	0	0	0	0	0	38.7672029463074	0	0	253.212635310501	323.136579060749	0	0	0	0	56.0852495793607	445.578644630777	0	273.099681383705	0	34.7898691900919	0	0
g__Actinobacillus	0	0	41.0930758167249	211.505922165821	0	0	0	0	0	0	71.9372706999497	0	0	0	0	0	34.735489249366	0	0	0	0	0	64.7647420744147	0	0	0
g__Actinomyces	293.405706740996	0	41.0930758167249	211.505922165821	31.5736297044709	0	0	65.7873096279728	176.822152279237	77.5344058926148	0	187.652467629949	2215.61055896688	107.71219302025	0	30.3554624654706	0	197.114247417803	112.170499158721	0	0	5871.64314974965	0	1078.48594489285	32.4107084980877	50.4362737680941
g__Aggregatibacter	0	0	0	1410.03948110547	0	197.137562591176	8045.56781772873	0	0	0	1043.09042514927	0	0	0	0	0	0	0	0	202.535747559444	0	0	0	0	32.4107084980877	50.4362737680941
g__Akkermansia	0	0	0	0	0	0	0	0	0	77.5344058926148	0	0	0	0	0	0	34.735489249366	0	6169.37745372967	0	0	0	0	0	0	0
g__Alistipes	0	744.760080859665	1479.35072940209	282.007896221095	0	0	106.799572801709	0	0	116.301608838922	179.843176749874	0	63.3031588276255	8455.40715208962	0	0	0	0	0	0	0	0	0	0	32.4107084980877	151.308821304282
g__Allobaculum	146.702853370498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.5166135639509	64.7647420744147	0	0	0
g__Anaerostipes	0	0	1109.51304705157	0	0	39.4275125182352	0	296.042893325877	1237.75506595467	0	0	37.5304935259899	0	3231.36579060749	0	182.132774792824	138.941956997464	0	8412.7874369041	0	0	0	453.353194520903	0	0	302.617642608564
g__Anaerotruncus	0	212.788594531333	123.279227450175	0	0	39.4275125182352	0	0	0	0	215.811812099849	0	0	484.704868591125	0	0	0	0	0	40.5071495118888	0	0	0	0	0	50.4362737680941
g__Atopobium	73.3514266852491	0	41.0930758167249	176.254935138184	0	0	0	0	0	116.301608838922	0	75.0609870519798	3544.97689434703	0	34.6140533056421	60.7109249309413	69.4709784987321	0	112.170499158721	0	0	91.0332271279016	64.7647420744147	2052.60228221542	32.4107084980877	151.308821304282
g__Bacteroides	540453.311816915	293861.049047772	525251.695089378	498589.960518894	734181.61151806	693884.792808422	541438.234247063	438044.801157856	416486.897478516	595425.470052336	533702.611322926	239069.243760555	124010.888143318	351087.893149505	214260.989961925	674650.153295086	450276.147139533	833438.460931956	25182.2770611329	416372.989832705	286302.459952254	6827.49203459262	641559.534989152	416782.6328973	499384.196538536	96938.5181822767
g__Bifidobacterium	0	0	2383.39839737004	0	7482.95023995958	39.4275125182352	0	0	247.551013190932	310.137623570459	0	0	0	807.841447651874	34.6140533056421	91.066387396412	34.735489249366	20933.5330757707	0	0	0	0	0	278.318953520735	129.642833992351	0
g__Bilophila	2163.86708721485	3085.43462070432	164.3723032669	2608.57304004512	0	551.985175255293	1388.39444642222	197.361928883918	884.110761396187	1240.55049428184	2481.83583914827	0	696.33474710388	53.8560965101249	0	273.199162189236	208.412935496196	0	0	40.5071495118888	172.992422931876	0	259.058968297659	34.7898691900919	972.321254942632	201.745095072377
